id,notelong,notepitch,notenextpitch,glideornot,nextbreathornot,notepage,noterow,sentencelong,songlong,breathtime
1,2,64,66,,-1,1,1,0,43654,
2,1.5,66,66,,0,1,1,0,,
3,0.5,66,66,,1,1,1,4,,
4,2,66,68,,-1,1,1,0,,
5,1.5,68,66,,0,1,1,0,,
6,0.5,66,68,,1,1,1,4,,
7,2,68,69,,-1,1,1,0,,
8,1.5,69,66,,0,1,1,0,,
9,0.5,66,67,,1,1,1,4,,
10,1,67,65,,0,1,1,0,,
11,1,65,63,,0,1,1,0,,
12,1.5,63,66,,0,1,1,0,,
13,0.5,66,64,,1,1,1,4,,
14,2,64,66,,-1,1,2,0,,
15,1.5,66,66,,0,1,2,0,,
16,0.5,66,66,,1,1,2,4,,
17,2,66,68,,-1,1,2,0,,
18,1.5,68,66,,0,1,2,0,,
19,0.5,66,68,,1,1,2,4,,
20,2,68,69,,-1,1,2,0,,
21,1.5,69,66,,0,1,2,0,,
22,0.5,66,64,,1,1,2,4,,
23,1,64,63,,0,1,2,0,,
24,1,63,64,,0,1,2,0,,
25,1.5,64,66,,0,1,2,0,,
26,0.5,66,0,,1,1,2,0,,